,Benign,Malignant,Normal,General
Precision,0.7463768115942029,0.7435897435897436,0.9444444444444444,0.7791813166395105
Recall,0.9196428571428571,0.58,0.5151515151515151,0.764102564102564
Fscore,0.8240000000000001,0.6516853932584269,0.6666666666666666,0.7531911264765198
