,Benign,Malignant,Normal,General
Precision,0.6595744680851063,0.7105263157894737,0.8125,0.7034854423292273
Recall,0.8857142857142857,0.5294117647058824,0.3333333333333333,0.6820512820512821
Fscore,0.7560975609756098,0.6067415730337078,0.4727272727272727,0.6603611680180602
