,Benign,Malignant,Normal,General
Precision,0.7573529411764706,0.8571428571428571,0.875,0.8056830424477484
Recall,0.9626168224299065,0.5769230769230769,0.5833333333333334,0.7897435897435897
Fscore,0.8477366255144032,0.689655172413793,0.7000000000000001,0.7783071174131199
