,Benign,Malignant,Normal,General
Precision,0.656934306569343,0.6666666666666666,0.631578947368421,0.6558980269314498
Recall,0.8653846153846154,0.43333333333333335,0.3870967741935484,0.6564102564102564
Fscore,0.7468879668049793,0.5252525252525252,0.48000000000000004,0.6362641028865096
