,Benign,Malignant,Normal,General
Precision,0.7466666666666667,0.7096774193548387,0.7857142857142857,0.7425677261806294
Recall,0.9180327868852459,0.4583333333333333,0.44,0.7435897435897436
Fscore,0.823529411764706,0.5569620253164557,0.5641025641025641,0.7246529720669134
