,Benign,Malignant,Normal,General
Precision,0.7569444444444444,0.95,1.0,0.849045584045584
Recall,0.990909090909091,0.35185185185185186,1.0,0.8153846153846154
Fscore,0.858267716535433,0.5135135135135135,1.0,0.7853291207621915
